Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE CAMPINAS CM,92.728
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE ELDORADO CM,11.855
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE GAL CAMPINAS CM,95.588
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE SJ RIO PRETO CM,422.43
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE VILA NOVA CM,6.281
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE VILLA LOBOS CM,13.545
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE MOEMA CM,9.132
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE MORUMBI CM,11.671
SP,ANIMALE CAMPINAS CM,SP,ANIMALE ELDORADO CM,82.276
SP,ANIMALE CAMPINAS CM,SP,ANIMALE GAL CAMPINAS CM,3.323
SP,ANIMALE CAMPINAS CM,SP,ANIMALE SJ RIO PRETO CM,333.657
SP,ANIMALE CAMPINAS CM,SP,ANIMALE VILA NOVA CM,90.972
SP,ANIMALE CAMPINAS CM,SP,ANIMALE VILLA LOBOS CM,82.028
SP,ANIMALE CAMPINAS CM,SP,ANIMALE MOEMA CM,86.675
SP,ANIMALE CAMPINAS CM,SP,ANIMALE MORUMBI CM,87.58
SP,ANIMALE ELDORADO CM,SP,ANIMALE GAL CAMPINAS CM,85.238
SP,ANIMALE ELDORADO CM,SP,ANIMALE SJ RIO PRETO CM,410.819
SP,ANIMALE ELDORADO CM,SP,ANIMALE VILA NOVA CM,8.698
SP,ANIMALE ELDORADO CM,SP,ANIMALE VILLA LOBOS CM,2.577
SP,ANIMALE ELDORADO CM,SP,ANIMALE MOEMA CM,4.519
SP,ANIMALE ELDORADO CM,SP,ANIMALE MORUMBI CM,6.914
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE SJ RIO PRETO CM,331.535
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE VILA NOVA CM,93.936
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE VILLA LOBOS CM,85.036
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE MOEMA CM,89.655
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE MORUMBI CM,90.615
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE VILA NOVA CM,419.043
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE VILLA LOBOS CM,409.753
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE MOEMA CM,414.667
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE MORUMBI CM,414.358
SP,ANIMALE VILA NOVA CM,SP,ANIMALE VILLA LOBOS CM,9.302
SP,ANIMALE VILA NOVA CM,SP,ANIMALE MOEMA CM,4.399
SP,ANIMALE VILA NOVA CM,SP,ANIMALE MORUMBI CM,5.65
SP,ANIMALE VILLA LOBOS CM,SP,ANIMALE MOEMA CM,4.915
SP,ANIMALE VILLA LOBOS CM,SP,ANIMALE MORUMBI CM,5.831
SP,ANIMALE MOEMA CM,SP,ANIMALE MORUMBI CM,3.601
