Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km,Leadtime
RJ,BUZIOS CM,SP,ANIMALE SAO CAETANO CM,490.189,11.029
SP,ANIMALE SAO CAETANO CM,RJ,BUZIOS CM,490.189,11.029
RJ,BUZIOS CM,MG,ANIMALE SAVASSI CM,377.437,8.492
MG,ANIMALE SAVASSI CM,RJ,BUZIOS CM,377.437,8.492
RJ,BUZIOS CM,PR,ANIMALE SHOP BATEL CM,808.925,18.201
PR,ANIMALE SHOP BATEL CM,RJ,BUZIOS CM,808.925,18.201
RJ,BUZIOS CM,DF,ANIMALE SHOP BRASILIA CM,996.354,22.418
DF,ANIMALE SHOP BRASILIA CM,RJ,BUZIOS CM,996.354,22.418
RJ,BUZIOS CM,RJ,ANIMALE SHOP LEBLON CM,138.975,3.127
RJ,ANIMALE SHOP LEBLON CM,RJ,BUZIOS CM,138.975,3.127
RJ,BUZIOS CM,RJ,ANIMALE SHOP TIJUCA CM,141.395,3.181
RJ,ANIMALE SHOP TIJUCA CM,RJ,BUZIOS CM,141.395,3.181
RJ,BUZIOS CM,ES,ANIMALE SHOP VITORIA CM,317.359,7.141
ES,ANIMALE SHOP VITORIA CM,RJ,BUZIOS CM,317.359,7.141
RJ,BUZIOS CM,PA,ANIMALE BELEM CM,2463.331,55.425
PA,ANIMALE BELEM CM,RJ,BUZIOS CM,2463.331,55.425
RJ,BUZIOS CM,MG,ANIMALE BH SHOP CM,375.74,8.454
MG,ANIMALE BH SHOP CM,RJ,BUZIOS CM,375.74,8.454
RJ,BUZIOS CM,SP,ANIMALE CAMPINAS CM,527.689,11.873
SP,ANIMALE CAMPINAS CM,RJ,BUZIOS CM,527.689,11.873
RJ,BUZIOS CM,MS,ANIMALE CAMPO GRANDE CM,1339.018,30.128
MS,ANIMALE CAMPO GRANDE CM,RJ,BUZIOS CM,1339.018,30.128
RJ,BUZIOS CM,SP,ANIMALE ELDORADO CM,498.695,11.221
SP,ANIMALE ELDORADO CM,RJ,BUZIOS CM,498.695,11.221
RJ,BUZIOS CM,PB,ANIMALE JOAO PESSOA CM,1889.658,42.517
PB,ANIMALE JOAO PESSOA CM,RJ,BUZIOS CM,1889.658,42.517
RJ,BUZIOS CM,DF,ANIMALE LAGO SUL CM,990.82,22.293
DF,ANIMALE LAGO SUL CM,RJ,BUZIOS CM,990.82,22.293
RJ,BUZIOS CM,PR,ANIMALE LONDRINA CM,955.137,21.491
PR,ANIMALE LONDRINA CM,RJ,BUZIOS CM,955.137,21.491
RJ,BUZIOS CM,MG,ANIMALE LOURDES CM,378.393,8.514
MG,ANIMALE LOURDES CM,RJ,BUZIOS CM,378.393,8.514
RJ,BUZIOS CM,AL,ANIMALE MACEIO CM,1594.637,35.879
AL,ANIMALE MACEIO CM,RJ,BUZIOS CM,1594.637,35.879
RJ,BUZIOS CM,MT,ANIMALE ESTACAO CUIABA CM,1692.843,38.089
MT,ANIMALE ESTACAO CUIABA CM,RJ,BUZIOS CM,1692.843,38.089
RJ,BUZIOS CM,GO,ANIMALE FLAMBOYANT CM,1020.671,22.965
GO,ANIMALE FLAMBOYANT CM,RJ,BUZIOS CM,1020.671,22.965
RJ,BUZIOS CM,SC,ANIMALE FLORIANOPOLIS CM,858.22,19.31
SC,ANIMALE FLORIANOPOLIS CM,RJ,BUZIOS CM,858.22,19.31
RJ,BUZIOS CM,CE,ANIMALE FORTALEZA CM,2133.036,47.993
CE,ANIMALE FORTALEZA CM,RJ,BUZIOS CM,2133.036,47.993
RJ,BUZIOS CM,SP,ANIMALE GAL CAMPINAS CM,527.549,11.87
SP,ANIMALE GAL CAMPINAS CM,RJ,BUZIOS CM,527.549,11.87
RJ,BUZIOS CM,MT,ANIMALE GOIABEIRAS CM,1691.794,38.065
MT,ANIMALE GOIABEIRAS CM,RJ,BUZIOS CM,1691.794,38.065
RJ,BUZIOS CM,SP,ANIMALE SJ RIO PRETO CM,805.777,18.13
SP,ANIMALE SJ RIO PRETO CM,RJ,BUZIOS CM,805.777,18.13
RJ,BUZIOS CM,SP,ANIMALE VILA NOVA CM,496.469,11.171
SP,ANIMALE VILA NOVA CM,RJ,BUZIOS CM,496.469,11.171
RJ,BUZIOS CM,ES,ANIMALE VILA VELHA CM,315.313,7.095
ES,ANIMALE VILA VELHA CM,RJ,BUZIOS CM,315.313,7.095
RJ,BUZIOS CM,SP,ANIMALE VILLA LOBOS CM,501.233,11.278
SP,ANIMALE VILLA LOBOS CM,RJ,BUZIOS CM,501.233,11.278
RJ,BUZIOS CM,RJ,ANIMALE VILLAGE MALL CM,161.027,3.623
RJ,ANIMALE VILLAGE MALL CM,RJ,BUZIOS CM,161.027,3.623
RJ,BUZIOS CM,AM,ANIMALE MANAUARA CM,2924.277,65.796
AM,ANIMALE MANAUARA CM,RJ,BUZIOS CM,2924.277,65.796
RJ,BUZIOS CM,SP,ANIMALE MOEMA CM,498.502,11.216
SP,ANIMALE MOEMA CM,RJ,BUZIOS CM,498.502,11.216
RJ,BUZIOS CM,RS,ANIMALE MOINHOS CM,1228.906,27.65
RS,ANIMALE MOINHOS CM,RJ,BUZIOS CM,1228.906,27.65
RJ,BUZIOS CM,SP,ANIMALE MORUMBI CM,501.67,11.288
SP,ANIMALE MORUMBI CM,RJ,BUZIOS CM,501.67,11.288
RJ,BUZIOS CM,PR,ANIMALE MUELLER CM,806.318,18.142
PR,ANIMALE MUELLER CM,RJ,BUZIOS CM,806.318,18.142
RJ,BUZIOS CM,RN,ANIMALE NATAL CM,2004.337,45.098
RN,ANIMALE NATAL CM,RJ,BUZIOS CM,2004.337,45.098
SP,ANIMALE ALPHAVILLE CM,SE,ANIMALE ARACAJU CM,1734.402,39.024
SE,ANIMALE ARACAJU CM,SP,ANIMALE ALPHAVILLE CM,1734.402,39.024
SP,ANIMALE ALPHAVILLE CM,SC,ANIMALE BALNEARIO SHOP CM,427.973,9.629
SC,ANIMALE BALNEARIO SHOP CM,SP,ANIMALE ALPHAVILLE CM,427.973,9.629
SP,ANIMALE ALPHAVILLE CM,PR,ANIMALE BARIGUI CM,331.102,7.45
PR,ANIMALE BARIGUI CM,SP,ANIMALE ALPHAVILLE CM,331.102,7.45
SP,ANIMALE ALPHAVILLE CM,BA,ANIMALE BARRA SALVADOR CM,1455.657,32.752
BA,ANIMALE BARRA SALVADOR CM,SP,ANIMALE ALPHAVILLE CM,1455.657,32.752
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE BARRA SHOP CM,353.851,7.962
RJ,ANIMALE BARRA SHOP CM,SP,ANIMALE ALPHAVILLE CM,353.851,7.962
SP,ANIMALE ALPHAVILLE CM,RS,ANIMALE BARRA SUL CM,851.203,19.152
RS,ANIMALE BARRA SUL CM,SP,ANIMALE ALPHAVILLE CM,851.203,19.152
SP,ANIMALE ALPHAVILLE CM,PE,ANIMALE RECIFE CM,2126.489,47.846
PE,ANIMALE RECIFE CM,SP,ANIMALE ALPHAVILLE CM,2126.489,47.846
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE RIO DESIGN CM,360.151,8.103
RJ,ANIMALE RIO DESIGN CM,SP,ANIMALE ALPHAVILLE CM,360.151,8.103
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE RIO SUL CM,379.651,8.542
RJ,ANIMALE RIO SUL CM,SP,ANIMALE ALPHAVILLE CM,379.651,8.542
SP,ANIMALE ALPHAVILLE CM,CE,ANIMALE RIOMAR FORTAL CM,2363.722,53.184
CE,ANIMALE RIOMAR FORTAL CM,SP,ANIMALE ALPHAVILLE CM,2363.722,53.184
SP,ANIMALE ALPHAVILLE CM,PE,ANIMALE RIOMAR RECIFE CM,2129.475,47.913
PE,ANIMALE RIOMAR RECIFE CM,SP,ANIMALE ALPHAVILLE CM,2129.475,47.913
SP,ANIMALE ALPHAVILLE CM,BA,ANIMALE SALVADOR CM,1462.632,32.909
BA,ANIMALE SALVADOR CM,SP,ANIMALE ALPHAVILLE CM,1462.632,32.909
SP,ANIMALE ALPHAVILLE CM,DF,ANIMALE IGUATEMI BSB CM,1477.598,33.246
DF,ANIMALE IGUATEMI BSB CM,SP,ANIMALE ALPHAVILLE CM,1477.598,33.246
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE IGUATEMI SP CM,17.931,0.403
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE ALPHAVILLE CM,17.931,0.403
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE IPANEMA CM,377.107,8.485
RJ,ANIMALE IPANEMA CM,SP,ANIMALE ALPHAVILLE CM,377.107,8.485
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE JK SAO PAULO CM,20.784,0.468
SP,ANIMALE JK SAO PAULO CM,SP,ANIMALE ALPHAVILLE CM,20.784,0.468
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE ORO IPANEMA CM,376.686,8.475
RJ,ANIMALE ORO IPANEMA CM,SP,ANIMALE ALPHAVILLE CM,376.686,8.475
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE OSCAR FREIRE CM,19.666,0.442
SP,ANIMALE OSCAR FREIRE CM,SP,ANIMALE ALPHAVILLE CM,19.666,0.442
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE PLAZA CM,381.891,8.593
RJ,ANIMALE PLAZA CM,SP,ANIMALE ALPHAVILLE CM,381.891,8.593
SP,ANIMALE ALPHAVILLE CM,RS,ANIMALE PORTO ALEGRE CM,841.193,18.927
RS,ANIMALE PORTO ALEGRE CM,SP,ANIMALE ALPHAVILLE CM,841.193,18.927
SP,ANIMALE ALPHAVILLE CM,ES,ANIMALE PRAIA DO CANTO CM,764.296,17.197
ES,ANIMALE PRAIA DO CANTO CM,SP,ANIMALE ALPHAVILLE CM,764.296,17.197
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE SAO CAETANO CM,31.065,0.699
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE ALPHAVILLE CM,31.065,0.699
SP,ANIMALE ALPHAVILLE CM,MG,ANIMALE SAVASSI CM,496.916,11.181
MG,ANIMALE SAVASSI CM,SP,ANIMALE ALPHAVILLE CM,496.916,11.181
SP,ANIMALE ALPHAVILLE CM,PR,ANIMALE SHOP BATEL CM,328.179,7.384
PR,ANIMALE SHOP BATEL CM,SP,ANIMALE ALPHAVILLE CM,328.179,7.384
SP,ANIMALE ALPHAVILLE CM,DF,ANIMALE SHOP BRASILIA CM,859.907,19.348
DF,ANIMALE SHOP BRASILIA CM,SP,ANIMALE ALPHAVILLE CM,859.907,19.348
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE SHOP LEBLON CM,375.907,8.458
RJ,ANIMALE SHOP LEBLON CM,SP,ANIMALE ALPHAVILLE CM,375.907,8.458
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE SHOP TIJUCA CM,373.553,8.405
RJ,ANIMALE SHOP TIJUCA CM,SP,ANIMALE ALPHAVILLE CM,373.553,8.405
SP,ANIMALE ALPHAVILLE CM,ES,ANIMALE SHOP VITORIA CM,763.705,17.183
ES,ANIMALE SHOP VITORIA CM,SP,ANIMALE ALPHAVILLE CM,763.705,17.183
SP,ANIMALE ALPHAVILLE CM,PA,ANIMALE BELEM CM,2445.491,55.024
PA,ANIMALE BELEM CM,SP,ANIMALE ALPHAVILLE CM,2445.491,55.024
SP,ANIMALE ALPHAVILLE CM,MG,ANIMALE BH SHOP CM,460.907,10.37
MG,ANIMALE BH SHOP CM,SP,ANIMALE ALPHAVILLE CM,460.907,10.37
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE CAMPINAS CM,68.61,1.544
SP,ANIMALE CAMPINAS CM,SP,ANIMALE ALPHAVILLE CM,68.61,1.544
SP,ANIMALE ALPHAVILLE CM,MS,ANIMALE CAMPO GRANDE CM,866.638,19.499
MS,ANIMALE CAMPO GRANDE CM,SP,ANIMALE ALPHAVILLE CM,866.638,19.499
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE ELDORADO CM,19.32,0.435
SP,ANIMALE ELDORADO CM,SP,ANIMALE ALPHAVILLE CM,19.32,0.435
SP,ANIMALE ALPHAVILLE CM,PB,ANIMALE JOAO PESSOA CM,2222.188,49.999
PB,ANIMALE JOAO PESSOA CM,SP,ANIMALE ALPHAVILLE CM,2222.188,49.999
SP,ANIMALE ALPHAVILLE CM,DF,ANIMALE LAGO SUL CM,852.851,19.189
DF,ANIMALE LAGO SUL CM,SP,ANIMALE ALPHAVILLE CM,852.851,19.189
SP,ANIMALE ALPHAVILLE CM,PR,ANIMALE LONDRINA CM,443.475,9.978
PR,ANIMALE LONDRINA CM,SP,ANIMALE ALPHAVILLE CM,443.475,9.978
SP,ANIMALE ALPHAVILLE CM,MG,ANIMALE LOURDES CM,495.461,11.148
MG,ANIMALE LOURDES CM,SP,ANIMALE ALPHAVILLE CM,495.461,11.148
SP,ANIMALE ALPHAVILLE CM,AL,ANIMALE MACEIO CM,1938.491,43.616
AL,ANIMALE MACEIO CM,SP,ANIMALE ALPHAVILLE CM,1938.491,43.616
SP,ANIMALE ALPHAVILLE CM,MT,ANIMALE ESTACAO CUIABA CM,1307.485,29.418
MT,ANIMALE ESTACAO CUIABA CM,SP,ANIMALE ALPHAVILLE CM,1307.485,29.418
SP,ANIMALE ALPHAVILLE CM,GO,ANIMALE FLAMBOYANT CM,791.635,17.812
GO,ANIMALE FLAMBOYANT CM,SP,ANIMALE ALPHAVILLE CM,791.635,17.812
SP,ANIMALE ALPHAVILLE CM,SC,ANIMALE FLORIANOPOLIS CM,484.469,10.901
SC,ANIMALE FLORIANOPOLIS CM,SP,ANIMALE ALPHAVILLE CM,484.469,10.901
SP,ANIMALE ALPHAVILLE CM,CE,ANIMALE FORTALEZA CM,2361.084,53.124
CE,ANIMALE FORTALEZA CM,SP,ANIMALE ALPHAVILLE CM,2361.084,53.124
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE GAL CAMPINAS CM,71.794,1.615
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE ALPHAVILLE CM,71.794,1.615
SP,ANIMALE ALPHAVILLE CM,MT,ANIMALE GOIABEIRAS CM,1306.622,29.399
MT,ANIMALE GOIABEIRAS CM,SP,ANIMALE ALPHAVILLE CM,1306.622,29.399
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE SJ RIO PRETO CM,392.945,8.841
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE ALPHAVILLE CM,392.945,8.841
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE VILA NOVA CM,26.508,0.596
SP,ANIMALE VILA NOVA CM,SP,ANIMALE ALPHAVILLE CM,26.508,0.596
SP,ANIMALE ALPHAVILLE CM,ES,ANIMALE VILA VELHA CM,762.51,17.156
ES,ANIMALE VILA VELHA CM,SP,ANIMALE ALPHAVILLE CM,762.51,17.156
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE VILLA LOBOS CM,17.545,0.395
SP,ANIMALE VILLA LOBOS CM,SP,ANIMALE ALPHAVILLE CM,17.545,0.395
SP,ANIMALE ALPHAVILLE CM,RJ,ANIMALE VILLAGE MALL CM,353.851,7.962
RJ,ANIMALE VILLAGE MALL CM,SP,ANIMALE ALPHAVILLE CM,353.851,7.962
SP,ANIMALE ALPHAVILLE CM,AM,ANIMALE MANAUARA CM,2664.115,59.943
AM,ANIMALE MANAUARA CM,SP,ANIMALE ALPHAVILLE CM,2664.115,59.943
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE MOEMA CM,22.302,0.502
SP,ANIMALE MOEMA CM,SP,ANIMALE ALPHAVILLE CM,22.302,0.502
SP,ANIMALE ALPHAVILLE CM,RS,ANIMALE MOINHOS CM,843.123,18.97
RS,ANIMALE MOINHOS CM,SP,ANIMALE ALPHAVILLE CM,843.123,18.97
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE MORUMBI CM,21.47,0.483
SP,ANIMALE MORUMBI CM,SP,ANIMALE ALPHAVILLE CM,21.47,0.483
SP,ANIMALE ALPHAVILLE CM,PR,ANIMALE MUELLER CM,325.013,7.313
PR,ANIMALE MUELLER CM,SP,ANIMALE ALPHAVILLE CM,325.013,7.313
SP,ANIMALE ALPHAVILLE CM,RN,ANIMALE NATAL CM,2317.609,52.146
RN,ANIMALE NATAL CM,SP,ANIMALE ALPHAVILLE CM,2317.609,52.146
SE,ANIMALE ARACAJU CM,SC,ANIMALE BALNEARIO SHOP CM,2152.288,48.426
SC,ANIMALE BALNEARIO SHOP CM,SE,ANIMALE ARACAJU CM,2152.288,48.426
SE,ANIMALE ARACAJU CM,PR,ANIMALE BARIGUI CM,2060.888,46.37
PR,ANIMALE BARIGUI CM,SE,ANIMALE ARACAJU CM,2060.888,46.37
SE,ANIMALE ARACAJU CM,BA,ANIMALE BARRA SALVADOR CM,278.754,6.272
BA,ANIMALE BARRA SALVADOR CM,SE,ANIMALE ARACAJU CM,278.754,6.272
SE,ANIMALE ARACAJU CM,RJ,ANIMALE BARRA SHOP CM,1496.85,33.679
RJ,ANIMALE BARRA SHOP CM,SE,ANIMALE ARACAJU CM,1496.85,33.679
SE,ANIMALE ARACAJU CM,RS,ANIMALE BARRA SUL CM,2579.109,58.03
RS,ANIMALE BARRA SUL CM,SE,ANIMALE ARACAJU CM,2579.109,58.03
SE,ANIMALE ARACAJU CM,PE,ANIMALE RECIFE CM,392.213,8.825
PE,ANIMALE RECIFE CM,SE,ANIMALE ARACAJU CM,392.213,8.825
SE,ANIMALE ARACAJU CM,RJ,ANIMALE RIO DESIGN CM,1493.019,33.593
RJ,ANIMALE RIO DESIGN CM,SE,ANIMALE ARACAJU CM,1493.019,33.593
SE,ANIMALE ARACAJU CM,RJ,ANIMALE RIO SUL CM,1479.851,33.297
RJ,ANIMALE RIO SUL CM,SE,ANIMALE ARACAJU CM,1479.851,33.297
SE,ANIMALE ARACAJU CM,CE,ANIMALE RIOMAR FORTAL CM,812.68,18.285
CE,ANIMALE RIOMAR FORTAL CM,SE,ANIMALE ARACAJU CM,812.68,18.285
SE,ANIMALE ARACAJU CM,PE,ANIMALE RIOMAR RECIFE CM,395.158,8.891
PE,ANIMALE RIOMAR RECIFE CM,SE,ANIMALE ARACAJU CM,395.158,8.891
SE,ANIMALE ARACAJU CM,BA,ANIMALE SALVADOR CM,271.858,6.117
BA,ANIMALE SALVADOR CM,SE,ANIMALE ARACAJU CM,271.858,6.117
SE,ANIMALE ARACAJU CM,DF,ANIMALE IGUATEMI BSB CM,1239.184,27.882
DF,ANIMALE IGUATEMI BSB CM,SE,ANIMALE ARACAJU CM,1239.184,27.882
SE,ANIMALE ARACAJU CM,SP,ANIMALE IGUATEMI SP CM,1731.175,38.951
SP,ANIMALE IGUATEMI SP CM,SE,ANIMALE ARACAJU CM,1731.175,38.951
SE,ANIMALE ARACAJU CM,RJ,ANIMALE IPANEMA CM,1484.171,33.394
RJ,ANIMALE IPANEMA CM,SE,ANIMALE ARACAJU CM,1484.171,33.394
SE,ANIMALE ARACAJU CM,SP,ANIMALE JK SAO PAULO CM,1731.541,38.96
SP,ANIMALE JK SAO PAULO CM,SE,ANIMALE ARACAJU CM,1731.541,38.96
SE,ANIMALE ARACAJU CM,RJ,ANIMALE ORO IPANEMA CM,1484.355,33.398
RJ,ANIMALE ORO IPANEMA CM,SE,ANIMALE ARACAJU CM,1484.355,33.398
SE,ANIMALE ARACAJU CM,SP,ANIMALE OSCAR FREIRE CM,1729.243,38.908
SP,ANIMALE OSCAR FREIRE CM,SE,ANIMALE ARACAJU CM,1729.243,38.908
SE,ANIMALE ARACAJU CM,RJ,ANIMALE PLAZA CM,1474.472,33.176
RJ,ANIMALE PLAZA CM,SE,ANIMALE ARACAJU CM,1474.472,33.176
SE,ANIMALE ARACAJU CM,RS,ANIMALE PORTO ALEGRE CM,2568.85,57.799
RS,ANIMALE PORTO ALEGRE CM,SE,ANIMALE ARACAJU CM,2568.85,57.799
SE,ANIMALE ARACAJU CM,ES,ANIMALE PRAIA DO CANTO CM,1090.884,24.545
ES,ANIMALE PRAIA DO CANTO CM,SE,ANIMALE ARACAJU CM,1090.884,24.545
SE,ANIMALE ARACAJU CM,SP,ANIMALE SAO CAETANO CM,1729.101,38.905
SP,ANIMALE SAO CAETANO CM,SE,ANIMALE ARACAJU CM,1729.101,38.905
SE,ANIMALE ARACAJU CM,MG,ANIMALE SAVASSI CM,1237.506,27.844
MG,ANIMALE SAVASSI CM,SE,ANIMALE ARACAJU CM,1237.506,27.844
SE,ANIMALE ARACAJU CM,PR,ANIMALE SHOP BATEL CM,2058.515,46.317
PR,ANIMALE SHOP BATEL CM,SE,ANIMALE ARACAJU CM,2058.515,46.317
SE,ANIMALE ARACAJU CM,DF,ANIMALE SHOP BRASILIA CM,1290.294,29.032
DF,ANIMALE SHOP BRASILIA CM,SE,ANIMALE ARACAJU CM,1290.294,29.032
SE,ANIMALE ARACAJU CM,RJ,ANIMALE SHOP LEBLON CM,1484.049,33.391
RJ,ANIMALE SHOP LEBLON CM,SE,ANIMALE ARACAJU CM,1484.049,33.391
SE,ANIMALE ARACAJU CM,RJ,ANIMALE SHOP TIJUCA CM,1481.601,33.336
RJ,ANIMALE SHOP TIJUCA CM,SE,ANIMALE ARACAJU CM,1481.601,33.336
SE,ANIMALE ARACAJU CM,ES,ANIMALE SHOP VITORIA CM,1092.306,24.577
ES,ANIMALE SHOP VITORIA CM,SE,ANIMALE ARACAJU CM,1092.306,24.577
SE,ANIMALE ARACAJU CM,PA,ANIMALE BELEM CM,1644.594,37.003
PA,ANIMALE BELEM CM,SE,ANIMALE ARACAJU CM,1644.594,37.003
SE,ANIMALE ARACAJU CM,MG,ANIMALE BH SHOP CM,1273.72,28.659
MG,ANIMALE BH SHOP CM,SE,ANIMALE ARACAJU CM,1273.72,28.659
SE,ANIMALE ARACAJU CM,SP,ANIMALE CAMPINAS CM,1694.633,38.129
SP,ANIMALE CAMPINAS CM,SE,ANIMALE ARACAJU CM,1694.633,38.129
SE,ANIMALE ARACAJU CM,MS,ANIMALE CAMPO GRANDE CM,2151.873,48.417
MS,ANIMALE CAMPO GRANDE CM,SE,ANIMALE ARACAJU CM,2151.873,48.417
SE,ANIMALE ARACAJU CM,SP,ANIMALE ELDORADO CM,1729.793,38.92
SP,ANIMALE ELDORADO CM,SE,ANIMALE ARACAJU CM,1729.793,38.92
SE,ANIMALE ARACAJU CM,PB,ANIMALE JOAO PESSOA CM,489.779,11.02
PB,ANIMALE JOAO PESSOA CM,SE,ANIMALE ARACAJU CM,489.779,11.02
SE,ANIMALE ARACAJU CM,DF,ANIMALE LAGO SUL CM,1293.17,29.096
DF,ANIMALE LAGO SUL CM,SE,ANIMALE ARACAJU CM,1293.17,29.096
SE,ANIMALE ARACAJU CM,PR,ANIMALE LONDRINA CM,2032.787,45.738
PR,ANIMALE LONDRINA CM,SE,ANIMALE ARACAJU CM,2032.787,45.738
SE,ANIMALE ARACAJU CM,MG,ANIMALE LOURDES CM,1238.98,27.877
MG,ANIMALE LOURDES CM,SE,ANIMALE ARACAJU CM,1238.98,27.877
SE,ANIMALE ARACAJU CM,AL,ANIMALE MACEIO CM,206.836,4.654
AL,ANIMALE MACEIO CM,SE,ANIMALE ARACAJU CM,206.836,4.654
SE,ANIMALE ARACAJU CM,MT,ANIMALE ESTACAO CUIABA CM,2128.762,47.897
MT,ANIMALE ESTACAO CUIABA CM,SE,ANIMALE ARACAJU CM,2128.762,47.897
SE,ANIMALE ARACAJU CM,GO,ANIMALE FLAMBOYANT CM,1463.319,32.925
GO,ANIMALE FLAMBOYANT CM,SE,ANIMALE ARACAJU CM,1463.319,32.925
SE,ANIMALE ARACAJU CM,SC,ANIMALE FLORIANOPOLIS CM,2199.614,49.491
SC,ANIMALE FLORIANOPOLIS CM,SE,ANIMALE ARACAJU CM,2199.614,49.491
SE,ANIMALE ARACAJU CM,CE,ANIMALE FORTALEZA CM,810.308,18.232
CE,ANIMALE FORTALEZA CM,SE,ANIMALE ARACAJU CM,810.308,18.232
SE,ANIMALE ARACAJU CM,SP,ANIMALE GAL CAMPINAS CM,1692.031,38.071
SP,ANIMALE GAL CAMPINAS CM,SE,ANIMALE ARACAJU CM,1692.031,38.071
SE,ANIMALE ARACAJU CM,MT,ANIMALE GOIABEIRAS CM,2127.526,47.869
MT,ANIMALE GOIABEIRAS CM,SE,ANIMALE ARACAJU CM,2127.526,47.869
SE,ANIMALE ARACAJU CM,SP,ANIMALE SJ RIO PRETO CM,1718.098,38.657
SP,ANIMALE SJ RIO PRETO CM,SE,ANIMALE ARACAJU CM,1718.098,38.657
SE,ANIMALE ARACAJU CM,SP,ANIMALE VILA NOVA CM,1733.823,39.011
SP,ANIMALE VILA NOVA CM,SE,ANIMALE ARACAJU CM,1733.823,39.011
SE,ANIMALE ARACAJU CM,ES,ANIMALE VILA VELHA CM,1094.547,24.627
ES,ANIMALE VILA VELHA CM,SE,ANIMALE ARACAJU CM,1094.547,24.627
SE,ANIMALE ARACAJU CM,SP,ANIMALE VILLA LOBOS CM,1731.957,38.969
SP,ANIMALE VILLA LOBOS CM,SE,ANIMALE ARACAJU CM,1731.957,38.969
SE,ANIMALE ARACAJU CM,RJ,ANIMALE VILLAGE MALL CM,1496.85,33.679
RJ,ANIMALE VILLAGE MALL CM,SE,ANIMALE ARACAJU CM,1496.85,33.679
SE,ANIMALE ARACAJU CM,AM,ANIMALE MANAUARA CM,2679.757,60.295
AM,ANIMALE MANAUARA CM,SE,ANIMALE ARACAJU CM,2679.757,60.295
SE,ANIMALE ARACAJU CM,SP,ANIMALE MOEMA CM,1732.706,38.986
SP,ANIMALE MOEMA CM,SE,ANIMALE ARACAJU CM,1732.706,38.986
SE,ANIMALE ARACAJU CM,RS,ANIMALE MOINHOS CM,2571.106,57.85
RS,ANIMALE MOINHOS CM,SE,ANIMALE ARACAJU CM,2571.106,57.85
SE,ANIMALE ARACAJU CM,SP,ANIMALE MORUMBI CM,1736.201,39.065
SP,ANIMALE MORUMBI CM,SE,ANIMALE ARACAJU CM,1736.201,39.065
SE,ANIMALE ARACAJU CM,PR,ANIMALE MUELLER CM,2055.236,46.243
PR,ANIMALE MUELLER CM,SE,ANIMALE ARACAJU CM,2055.236,46.243
SE,ANIMALE ARACAJU CM,RN,ANIMALE NATAL CM,600.173,13.504
RN,ANIMALE NATAL CM,SE,ANIMALE ARACAJU CM,600.173,13.504
SC,ANIMALE BALNEARIO SHOP CM,PR,ANIMALE BARIGUI CM,185.596,4.176
PR,ANIMALE BARIGUI CM,SC,ANIMALE BALNEARIO SHOP CM,185.596,4.176
SC,ANIMALE BALNEARIO SHOP CM,BA,ANIMALE BARRA SALVADOR CM,1873.805,42.161
BA,ANIMALE BARRA SALVADOR CM,SC,ANIMALE BALNEARIO SHOP CM,1873.805,42.161
SC,ANIMALE BALNEARIO SHOP CM,RJ,ANIMALE BARRA SHOP CM,686.927,15.456
RJ,ANIMALE BARRA SHOP CM,SC,ANIMALE BALNEARIO SHOP CM,686.927,15.456
SC,ANIMALE BALNEARIO SHOP CM,RS,ANIMALE BARRA SUL CM,426.846,9.604
RS,ANIMALE BARRA SUL CM,SC,ANIMALE BALNEARIO SHOP CM,426.846,9.604
SC,ANIMALE BALNEARIO SHOP CM,PE,ANIMALE RECIFE CM,2543.522,57.229
PE,ANIMALE RECIFE CM,SC,ANIMALE BALNEARIO SHOP CM,2543.522,57.229
SC,ANIMALE BALNEARIO SHOP CM,RJ,ANIMALE RIO DESIGN CM,692.303,15.577
RJ,ANIMALE RIO DESIGN CM,SC,ANIMALE BALNEARIO SHOP CM,692.303,15.577
SC,ANIMALE BALNEARIO SHOP CM,RJ,ANIMALE RIO SUL CM,709.939,15.974
