Estado_A,Filial_A,Estado_B,Filial_B,Distancia_km,Leadtime
RJ,CENTRO DE DISTRIBUICAO,DF,ANIMALE SHOP BRASILIA CM,912.128,20.523
DF,ANIMALE SHOP BRASILIA CM,RJ,CENTRO DE DISTRIBUICAO,912.128,20.523
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE SHOP LEBLON CM,22.88,0.515
RJ,ANIMALE SHOP LEBLON CM,RJ,CENTRO DE DISTRIBUICAO,22.88,0.515
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE SHOP TIJUCA CM,17.488,0.393
RJ,ANIMALE SHOP TIJUCA CM,RJ,CENTRO DE DISTRIBUICAO,17.488,0.393
RJ,CENTRO DE DISTRIBUICAO,ES,ANIMALE SHOP VITORIA CM,420.27,9.456
ES,ANIMALE SHOP VITORIA CM,RJ,CENTRO DE DISTRIBUICAO,420.27,9.456
RJ,CENTRO DE DISTRIBUICAO,PA,ANIMALE BELEM CM,2427.988,54.63
PA,ANIMALE BELEM CM,RJ,CENTRO DE DISTRIBUICAO,2427.988,54.63
RJ,CENTRO DE DISTRIBUICAO,MG,ANIMALE BH SHOP CM,308.097,6.932
MG,ANIMALE BH SHOP CM,RJ,CENTRO DE DISTRIBUICAO,308.097,6.932
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE CAMPINAS CM,377.78,8.5
SP,ANIMALE CAMPINAS CM,RJ,CENTRO DE DISTRIBUICAO,377.78,8.5
RJ,CENTRO DE DISTRIBUICAO,MS,ANIMALE CAMPO GRANDE CM,1192.24,26.825
MS,ANIMALE CAMPO GRANDE CM,RJ,CENTRO DE DISTRIBUICAO,1192.24,26.825
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE ELDORADO CM,351.272,7.904
SP,ANIMALE ELDORADO CM,RJ,CENTRO DE DISTRIBUICAO,351.272,7.904
RJ,CENTRO DE DISTRIBUICAO,PB,ANIMALE JOAO PESSOA CM,1962.43,44.155
PB,ANIMALE JOAO PESSOA CM,RJ,CENTRO DE DISTRIBUICAO,1962.43,44.155
RJ,CENTRO DE DISTRIBUICAO,DF,ANIMALE LAGO SUL CM,906.056,20.386
DF,ANIMALE LAGO SUL CM,RJ,CENTRO DE DISTRIBUICAO,906.056,20.386
RJ,CENTRO DE DISTRIBUICAO,PR,ANIMALE LONDRINA CM,805.503,18.124
PR,ANIMALE LONDRINA CM,RJ,CENTRO DE DISTRIBUICAO,805.503,18.124
RJ,CENTRO DE DISTRIBUICAO,MG,ANIMALE LOURDES CM,324.279,7.296
MG,ANIMALE LOURDES CM,RJ,CENTRO DE DISTRIBUICAO,324.279,7.296
RJ,CENTRO DE DISTRIBUICAO,AL,ANIMALE MACEIO CM,1670.018,37.575
AL,ANIMALE MACEIO CM,RJ,CENTRO DE DISTRIBUICAO,1670.018,37.575
RJ,CENTRO DE DISTRIBUICAO,MT,ANIMALE ESTACAO CUIABA CM,1561.949,35.144
MT,ANIMALE ESTACAO CUIABA CM,RJ,CENTRO DE DISTRIBUICAO,1561.949,35.144
RJ,CENTRO DE DISTRIBUICAO,GO,ANIMALE FLAMBOYANT CM,915.142,20.591
GO,ANIMALE FLAMBOYANT CM,RJ,CENTRO DE DISTRIBUICAO,915.142,20.591
RJ,CENTRO DE DISTRIBUICAO,SC,ANIMALE FLORIANOPOLIS CM,744.696,16.756
SC,ANIMALE FLORIANOPOLIS CM,RJ,CENTRO DE DISTRIBUICAO,744.696,16.756
RJ,CENTRO DE DISTRIBUICAO,CE,ANIMALE FORTALEZA CM,2171.295,48.854
CE,ANIMALE FORTALEZA CM,RJ,CENTRO DE DISTRIBUICAO,2171.295,48.854
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE GAL CAMPINAS CM,377.641,8.497
SP,ANIMALE GAL CAMPINAS CM,RJ,CENTRO DE DISTRIBUICAO,377.641,8.497
RJ,CENTRO DE DISTRIBUICAO,MT,ANIMALE GOIABEIRAS CM,1560.933,35.121
MT,ANIMALE GOIABEIRAS CM,RJ,CENTRO DE DISTRIBUICAO,1560.933,35.121
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE SJ RIO PRETO CM,663.085,14.919
SP,ANIMALE SJ RIO PRETO CM,RJ,CENTRO DE DISTRIBUICAO,663.085,14.919
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE VILA NOVA CM,349.63,7.867
SP,ANIMALE VILA NOVA CM,RJ,CENTRO DE DISTRIBUICAO,349.63,7.867
RJ,CENTRO DE DISTRIBUICAO,ES,ANIMALE VILA VELHA CM,418.651,9.42
ES,ANIMALE VILA VELHA CM,RJ,CENTRO DE DISTRIBUICAO,418.651,9.42
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE VILLA LOBOS CM,353.834,7.961
SP,ANIMALE VILLA LOBOS CM,RJ,CENTRO DE DISTRIBUICAO,353.834,7.961
RJ,CENTRO DE DISTRIBUICAO,RJ,ANIMALE VILLAGE MALL CM,23.628,0.532
RJ,ANIMALE VILLAGE MALL CM,RJ,CENTRO DE DISTRIBUICAO,23.628,0.532
RJ,CENTRO DE DISTRIBUICAO,AM,ANIMALE MANAUARA CM,2825.861,63.582
AM,ANIMALE MANAUARA CM,RJ,CENTRO DE DISTRIBUICAO,2825.861,63.582
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE MOEMA CM,351.381,7.906
SP,ANIMALE MOEMA CM,RJ,CENTRO DE DISTRIBUICAO,351.381,7.906
RJ,CENTRO DE DISTRIBUICAO,RS,ANIMALE MOINHOS CM,1118.879,25.175
RS,ANIMALE MOINHOS CM,RJ,CENTRO DE DISTRIBUICAO,1118.879,25.175
RJ,CENTRO DE DISTRIBUICAO,SP,ANIMALE MORUMBI CM,354.661,7.98
SP,ANIMALE MORUMBI CM,RJ,CENTRO DE DISTRIBUICAO,354.661,7.98
RJ,CENTRO DE DISTRIBUICAO,PR,ANIMALE MUELLER CM,667.848,15.027
PR,ANIMALE MUELLER CM,RJ,CENTRO DE DISTRIBUICAO,667.848,15.027
RJ,CENTRO DE DISTRIBUICAO,RN,ANIMALE NATAL CM,2070.824,46.594
RN,ANIMALE NATAL CM,RJ,CENTRO DE DISTRIBUICAO,2070.824,46.594
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ICARAI 02 CM,369.784,8.32
RJ,ANIMALE ICARAI 02 CM,SP,ANIMALE HIGIENOPOLIS CM,369.784,8.32
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ICARAI CM,370.0,8.325
RJ,ANIMALE ICARAI CM,SP,ANIMALE HIGIENOPOLIS CM,370.0,8.325
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE IG FLORIPA CM,485.85,10.932
SC,ANIMALE IG FLORIPA CM,SP,ANIMALE HIGIENOPOLIS CM,485.85,10.932
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IG RIBEIRAO CM,283.878,6.387
SP,ANIMALE IG RIBEIRAO CM,SP,ANIMALE HIGIENOPOLIS CM,283.878,6.387
SP,ANIMALE HIGIENOPOLIS CM,RJ,BUZIOS CM,496.344,11.168
RJ,BUZIOS CM,SP,ANIMALE HIGIENOPOLIS CM,496.344,11.168
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ALPHAVILLE CM,20.375,0.458
SP,ANIMALE ALPHAVILLE CM,SP,ANIMALE HIGIENOPOLIS CM,20.375,0.458
SP,ANIMALE HIGIENOPOLIS CM,SE,ANIMALE ARACAJU CM,1726.687,38.85
SE,ANIMALE ARACAJU CM,SP,ANIMALE HIGIENOPOLIS CM,1726.687,38.85
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE BALNEARIO SHOP CM,431.521,9.709
SC,ANIMALE BALNEARIO SHOP CM,SP,ANIMALE HIGIENOPOLIS CM,431.521,9.709
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE BARIGUI CM,342.62,7.709
PR,ANIMALE BARIGUI CM,SP,ANIMALE HIGIENOPOLIS CM,342.62,7.709
SP,ANIMALE HIGIENOPOLIS CM,BA,ANIMALE BARRA SALVADOR CM,1447.935,32.579
BA,ANIMALE BARRA SALVADOR CM,SP,ANIMALE HIGIENOPOLIS CM,1447.935,32.579
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE BARRA SHOP CM,335.342,7.545
RJ,ANIMALE BARRA SHOP CM,SP,ANIMALE HIGIENOPOLIS CM,335.342,7.545
SP,ANIMALE HIGIENOPOLIS CM,RS,ANIMALE BARRA SUL CM,856.346,19.268
RS,ANIMALE BARRA SUL CM,SP,ANIMALE HIGIENOPOLIS CM,856.346,19.268
SP,ANIMALE HIGIENOPOLIS CM,PE,ANIMALE RECIFE CM,2118.655,47.67
PE,ANIMALE RECIFE CM,SP,ANIMALE HIGIENOPOLIS CM,2118.655,47.67
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE RIO DESIGN CM,341.64,7.687
RJ,ANIMALE RIO DESIGN CM,SP,ANIMALE HIGIENOPOLIS CM,341.64,7.687
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE RIO SUL CM,361.177,8.126
RJ,ANIMALE RIO SUL CM,SP,ANIMALE HIGIENOPOLIS CM,361.177,8.126
SP,ANIMALE HIGIENOPOLIS CM,CE,ANIMALE RIOMAR FORTAL CM,2361.068,53.124
CE,ANIMALE RIOMAR FORTAL CM,SP,ANIMALE HIGIENOPOLIS CM,2361.068,53.124
SP,ANIMALE HIGIENOPOLIS CM,PE,ANIMALE RIOMAR RECIFE CM,2121.658,47.737
PE,ANIMALE RIOMAR RECIFE CM,SP,ANIMALE HIGIENOPOLIS CM,2121.658,47.737
SP,ANIMALE HIGIENOPOLIS CM,BA,ANIMALE SALVADOR CM,1454.854,32.734
BA,ANIMALE SALVADOR CM,SP,ANIMALE HIGIENOPOLIS CM,1454.854,32.734
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE IGUATEMI BSB CM,1485.469,33.423
DF,ANIMALE IGUATEMI BSB CM,SP,ANIMALE HIGIENOPOLIS CM,1485.469,33.423
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE IGUATEMI SP CM,4.657,0.105
SP,ANIMALE IGUATEMI SP CM,SP,ANIMALE HIGIENOPOLIS CM,4.657,0.105
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE IPANEMA CM,358.553,8.067
RJ,ANIMALE IPANEMA CM,SP,ANIMALE HIGIENOPOLIS CM,358.553,8.067
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE JK SAO PAULO CM,5.143,0.116
SP,ANIMALE JK SAO PAULO CM,SP,ANIMALE HIGIENOPOLIS CM,5.143,0.116
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE ORO IPANEMA CM,358.133,8.058
RJ,ANIMALE ORO IPANEMA CM,SP,ANIMALE HIGIENOPOLIS CM,358.133,8.058
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE OSCAR FREIRE CM,2.558,0.058
SP,ANIMALE OSCAR FREIRE CM,SP,ANIMALE HIGIENOPOLIS CM,2.558,0.058
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE PLAZA CM,363.535,8.18
RJ,ANIMALE PLAZA CM,SP,ANIMALE HIGIENOPOLIS CM,363.535,8.18
SP,ANIMALE HIGIENOPOLIS CM,RS,ANIMALE PORTO ALEGRE CM,846.271,19.041
RS,ANIMALE PORTO ALEGRE CM,SP,ANIMALE HIGIENOPOLIS CM,846.271,19.041
SP,ANIMALE HIGIENOPOLIS CM,ES,ANIMALE PRAIA DO CANTO CM,749.347,16.86
ES,ANIMALE PRAIA DO CANTO CM,SP,ANIMALE HIGIENOPOLIS CM,749.347,16.86
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE SAO CAETANO CM,11.96,0.269
SP,ANIMALE SAO CAETANO CM,SP,ANIMALE HIGIENOPOLIS CM,11.96,0.269
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE SAVASSI CM,489.605,11.016
MG,ANIMALE SAVASSI CM,SP,ANIMALE HIGIENOPOLIS CM,489.605,11.016
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE SHOP BATEL CM,339.524,7.639
PR,ANIMALE SHOP BATEL CM,SP,ANIMALE HIGIENOPOLIS CM,339.524,7.639
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE SHOP BRASILIA CM,868.203,19.535
DF,ANIMALE SHOP BRASILIA CM,SP,ANIMALE HIGIENOPOLIS CM,868.203,19.535
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE SHOP LEBLON CM,357.377,8.041
RJ,ANIMALE SHOP LEBLON CM,SP,ANIMALE HIGIENOPOLIS CM,357.377,8.041
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE SHOP TIJUCA CM,355.138,7.991
RJ,ANIMALE SHOP TIJUCA CM,SP,ANIMALE HIGIENOPOLIS CM,355.138,7.991
SP,ANIMALE HIGIENOPOLIS CM,ES,ANIMALE SHOP VITORIA CM,748.73,16.846
ES,ANIMALE SHOP VITORIA CM,SP,ANIMALE HIGIENOPOLIS CM,748.73,16.846
SP,ANIMALE HIGIENOPOLIS CM,PA,ANIMALE BELEM CM,2452.64,55.184
PA,ANIMALE BELEM CM,SP,ANIMALE HIGIENOPOLIS CM,2452.64,55.184
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE BH SHOP CM,453.999,10.215
MG,ANIMALE BH SHOP CM,SP,ANIMALE HIGIENOPOLIS CM,453.999,10.215
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE CAMPINAS CM,81.038,1.823
SP,ANIMALE CAMPINAS CM,SP,ANIMALE HIGIENOPOLIS CM,81.038,1.823
SP,ANIMALE HIGIENOPOLIS CM,MS,ANIMALE CAMPO GRANDE CM,886.925,19.956
MS,ANIMALE CAMPO GRANDE CM,SP,ANIMALE HIGIENOPOLIS CM,886.925,19.956
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE ELDORADO CM,3.108,0.07
SP,ANIMALE ELDORADO CM,SP,ANIMALE HIGIENOPOLIS CM,3.108,0.07
SP,ANIMALE HIGIENOPOLIS CM,PB,ANIMALE JOAO PESSOA CM,2214.883,49.835
PB,ANIMALE JOAO PESSOA CM,SP,ANIMALE HIGIENOPOLIS CM,2214.883,49.835
SP,ANIMALE HIGIENOPOLIS CM,DF,ANIMALE LAGO SUL CM,861.169,19.376
DF,ANIMALE LAGO SUL CM,SP,ANIMALE HIGIENOPOLIS CM,861.169,19.376
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE LONDRINA CM,463.214,10.422
PR,ANIMALE LONDRINA CM,SP,ANIMALE HIGIENOPOLIS CM,463.214,10.422
SP,ANIMALE HIGIENOPOLIS CM,MG,ANIMALE LOURDES CM,488.21,10.985
MG,ANIMALE LOURDES CM,SP,ANIMALE HIGIENOPOLIS CM,488.21,10.985
SP,ANIMALE HIGIENOPOLIS CM,AL,ANIMALE MACEIO CM,1930.414,43.434
AL,ANIMALE MACEIO CM,SP,ANIMALE HIGIENOPOLIS CM,1930.414,43.434
SP,ANIMALE HIGIENOPOLIS CM,MT,ANIMALE ESTACAO CUIABA CM,1326.071,29.837
MT,ANIMALE ESTACAO CUIABA CM,SP,ANIMALE HIGIENOPOLIS CM,1326.071,29.837
SP,ANIMALE HIGIENOPOLIS CM,GO,ANIMALE FLAMBOYANT CM,803.427,18.077
GO,ANIMALE FLAMBOYANT CM,SP,ANIMALE HIGIENOPOLIS CM,803.427,18.077
SP,ANIMALE HIGIENOPOLIS CM,SC,ANIMALE FLORIANOPOLIS CM,486.423,10.945
SC,ANIMALE FLORIANOPOLIS CM,SP,ANIMALE HIGIENOPOLIS CM,486.423,10.945
SP,ANIMALE HIGIENOPOLIS CM,CE,ANIMALE FORTALEZA CM,2358.427,53.065
CE,ANIMALE FORTALEZA CM,SP,ANIMALE HIGIENOPOLIS CM,2358.427,53.065
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE GAL CAMPINAS CM,83.947,1.889
SP,ANIMALE GAL CAMPINAS CM,SP,ANIMALE HIGIENOPOLIS CM,83.947,1.889
SP,ANIMALE HIGIENOPOLIS CM,MT,ANIMALE GOIABEIRAS CM,1325.202,29.817
MT,ANIMALE GOIABEIRAS CM,SP,ANIMALE HIGIENOPOLIS CM,1325.202,29.817
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE SJ RIO PRETO CM,410.492,9.236
SP,ANIMALE SJ RIO PRETO CM,SP,ANIMALE HIGIENOPOLIS CM,410.492,9.236
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE VILA NOVA CM,10.418,0.234
SP,ANIMALE VILA NOVA CM,SP,ANIMALE HIGIENOPOLIS CM,10.418,0.234
SP,ANIMALE HIGIENOPOLIS CM,ES,ANIMALE VILA VELHA CM,747.498,16.819
ES,ANIMALE VILA VELHA CM,SP,ANIMALE HIGIENOPOLIS CM,747.498,16.819
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE VILLA LOBOS CM,5.482,0.123
SP,ANIMALE VILLA LOBOS CM,SP,ANIMALE HIGIENOPOLIS CM,5.482,0.123
SP,ANIMALE HIGIENOPOLIS CM,RJ,ANIMALE VILLAGE MALL CM,335.342,7.545
RJ,ANIMALE VILLAGE MALL CM,SP,ANIMALE HIGIENOPOLIS CM,335.342,7.545
SP,ANIMALE HIGIENOPOLIS CM,AM,ANIMALE MANAUARA CM,2679.763,60.295
AM,ANIMALE MANAUARA CM,SP,ANIMALE HIGIENOPOLIS CM,2679.763,60.295
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE MOEMA CM,6.884,0.155
SP,ANIMALE MOEMA CM,SP,ANIMALE HIGIENOPOLIS CM,6.884,0.155
SP,ANIMALE HIGIENOPOLIS CM,RS,ANIMALE MOINHOS CM,848.276,19.086
RS,ANIMALE MOINHOS CM,SP,ANIMALE HIGIENOPOLIS CM,848.276,19.086
SP,ANIMALE HIGIENOPOLIS CM,SP,ANIMALE MORUMBI CM,9.833,0.221
SP,ANIMALE MORUMBI CM,SP,ANIMALE HIGIENOPOLIS CM,9.833,0.221
SP,ANIMALE HIGIENOPOLIS CM,PR,ANIMALE MUELLER CM,336.414,7.569
