SKU,FILIAL,VELOCIDADE_VENDA,ALVO,TRANSITO,EST_DISP,EST_TOTAL,CONT_RUPTURA,CONT_FALTA,CONT_EXCESSO,VOLUME_EXCESSO,DATA
52.13.6094-04349-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-04349-TAM_2,ANIMALE OSCAR FREIRE CM,0.09090909090909091,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-04349-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-09032-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-09032-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-09032-TAM_3,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6094-09032-TAM_4,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6119-50460-TAM_2,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6119-50460-TAM_4,ANIMALE OSCAR FREIRE CM,0.0,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6194-11055-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6194-11055-TAM_4,ANIMALE OSCAR FREIRE CM,0.09090909090909091,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6195-04099-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6195-11074-TAM_1,ANIMALE OSCAR FREIRE CM,0.0,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6195-11074-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6197-11055-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6197-11065-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,2.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
52.13.6202-11055-TAM_3,ANIMALE OSCAR FREIRE CM,0.14285714285714285,3.0,0.0,0.0,0.0,1,0,0,0.0,2025-08-16
