MAX_DIAS,CENARIO,MEAN_CUSTO,STD_CUSTO,N_SKUS
1,1. Apenas CD,1.5533253571428571,3.273387757846945,7
1,2. Rede Completa,1.0510873214285714,2.3942503802243387,7
2,1. Apenas CD,1.5533253571428571,3.273387757846945,7
2,2. Rede Completa,1.0510873214285714,2.3942503802243387,7
3,1. Apenas CD,1.5533253571428571,3.273387757846945,7
3,2. Rede Completa,1.0510873214285714,2.3942503802243387,7
4,1. Apenas CD,1.5533253571428571,3.273387757846945,7
4,2. Rede Completa,1.0510873214285714,2.3942503802243387,7
5,1. Apenas CD,8.009393928571429,11.171748606638227,7
5,2. Rede Completa,7.049588928571429,10.161339408826912,7
6,1. Apenas CD,8.013443035714287,11.181432601355619,7
6,2. Rede Completa,7.5624739285714275,11.113607102373315,7
7,1. Apenas CD,8.013443035714287,11.181432601355619,7
7,2. Rede Completa,7.5624739285714275,11.113607102373315,7
8,1. Apenas CD,19.129841964285713,14.0059529281106,7
8,2. Rede Completa,18.299060357142857,16.840653021607146,7
9,1. Apenas CD,19.153378214285713,14.025796114912952,7
9,2. Rede Completa,19.082836249999996,17.19820446159139,7
10,1. Apenas CD,19.348315714285715,14.493071376339087,7
10,2. Rede Completa,19.14479232142857,17.332270379338432,7
11,1. Apenas CD,19.915776249999997,15.440831957617414,7
11,2. Rede Completa,19.77558517857143,18.100612345477643,7
12,1. Apenas CD,29.802245535714285,22.30545618111811,7
12,2. Rede Completa,33.17821464285714,20.036480734550384,7
13,1. Apenas CD,30.191978928571427,22.638481979314555,7
13,2. Rede Completa,35.85167,20.97978575585658,7
14,1. Apenas CD,30.30855089285714,22.648620176468544,7
14,2. Rede Completa,35.99730410714285,20.97429725664788,7
15,1. Apenas CD,35.966744285714285,24.6074869334677,7
15,2. Rede Completa,40.89187196428571,20.424977704909377,7
16,1. Apenas CD,36.425414107142856,24.7885751854148,7
16,2. Rede Completa,41.13648303571428,20.68991039162882,7
17,1. Apenas CD,37.90654285714286,25.711008192069574,7
17,2. Rede Completa,42.49835321428571,21.573543555445834,7
18,1. Apenas CD,43.126639642857135,27.861883099164103,7
18,2. Rede Completa,46.78357625,22.633718020060133,7
19,1. Apenas CD,43.56134232142857,28.295042378094504,7
19,2. Rede Completa,47.40668892857143,23.165154287922476,7
